         232641244 function calls (232621006 primitive calls) in 406.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1481    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
        1    0.005    0.005    0.217    0.217 convert.py:34(to_networkx_graph)
        1    0.005    0.005    0.005    0.005 _lil.py:84(__init__)
 1042/533    0.005    0.000    0.028    0.000 inspect.py:2246(_signature_from_callable)
     1089    0.005    0.000    0.187    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1089    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
    39489    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
    20724    0.005    0.000    0.005    0.000 {built-in method builtins.min}
 1530/164    0.005    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
     1227    0.005    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
    10002    0.005    0.000    0.007    0.000 _collections_abc.py:779(items)
     3267    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1879    0.004    0.000    0.241    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     2636    0.004    0.000    0.011    0.000 {built-in method builtins.max}
      910    0.004    0.000    0.008    0.000 functools.py:35(update_wrapper)
      855    0.004    0.000    0.004    0.000 version.py:444(_cmpkey)
      122    0.004    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      379    0.004    0.000    0.030    0.000 _util.py:343(getfullargspec_no_self)
        1    0.004    0.004  406.608  406.608 draft.py:1(<module>)
 1434/390    0.004    0.000    2.216    0.006 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      316    0.004    0.000    0.007    0.000 ntpath.py:180(split)
     1089    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     6534    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     6444    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:878(__exit__)
    24487    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     1712    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
     1781    0.004    0.000    0.006    0.000 inspect.py:2498(__init__)
    10000    0.004    0.000    0.005    0.000 reportviews.py:188(__getitem__)
 1186/318    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
     1227    0.004    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     6631    0.004    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
      922    0.004    0.000    0.005    0.000 inspect.py:2781(__init__)
      410    0.004    0.000    0.007    0.000 decorators.py:823(__call__)
     3254    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     5106    0.003    0.000    0.003    0.000 {method 'rfind' of 'str' objects}
     6261    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
        4    0.003    0.001    0.005    0.001 _codata.py:1498(parse_constants_2002to2014)
     6444    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:874(__enter__)
      618    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
      325    0.003    0.000    0.003    0.000 core.py:457(__init__)
